marxin@marxinbox:~/Programming/creduce-benchmarks/pr94523-template-depth> git co pr94523.ii && TMPDIR=/dev/shm/tmp creduce --n 16 reduce-ice.sh pr94523.ii --timing
Updated 0 paths from the index
2020-04-12 12:11:39,750 INFO (77.6%, 489025 bytes)
2020-04-12 12:11:40,540 INFO (77.6%, 488427 bytes)
2020-04-12 12:11:41,334 INFO (77.6%, 488113 bytes)
2020-04-12 12:11:42,120 INFO (77.6%, 487943 bytes)
2020-04-12 12:11:42,906 INFO (77.6%, 487688 bytes)
2020-04-12 12:11:43,531 INFO (77.6%, 487460 bytes)
2020-04-12 12:11:44,171 INFO (77.6%, 487059 bytes)
2020-04-12 12:11:44,446 INFO ===< LinesPass::0 >===
2020-04-12 12:11:45,086 INFO (77.9%, 482587 bytes)
2020-04-12 12:11:45,299 INFO (77.9%, 481182 bytes)
2020-04-12 12:11:45,818 INFO (78.3%, 473571 bytes)
2020-04-12 12:11:46,056 INFO (78.4%, 469700 bytes)
2020-04-12 12:11:46,286 INFO (78.6%, 467295 bytes)
2020-04-12 12:11:46,510 INFO (78.6%, 466418 bytes)
2020-04-12 12:11:46,752 INFO (78.6%, 466244 bytes)
2020-04-12 12:11:46,983 INFO (78.8%, 461623 bytes)
2020-04-12 12:11:47,438 INFO (79.0%, 458443 bytes)
2020-04-12 12:11:47,701 INFO (79.0%, 458106 bytes)
2020-04-12 12:11:48,204 INFO (79.0%, 457954 bytes)
2020-04-12 12:11:48,413 INFO (79.0%, 457212 bytes)
2020-04-12 12:11:48,648 INFO (79.1%, 456128 bytes)
2020-04-12 12:11:48,894 INFO (79.1%, 455380 bytes)
2020-04-12 12:11:49,158 INFO (79.1%, 455326 bytes)
2020-04-12 12:11:49,353 INFO (79.1%, 454942 bytes)
2020-04-12 12:11:49,577 INFO (79.1%, 454348 bytes)
2020-04-12 12:11:49,813 INFO (79.2%, 452701 bytes)
2020-04-12 12:11:50,036 INFO (79.3%, 451917 bytes)
2020-04-12 12:11:50,238 INFO (79.3%, 451797 bytes)
2020-04-12 12:11:50,482 INFO (79.3%, 451433 bytes)
2020-04-12 12:11:50,706 INFO (79.3%, 450967 bytes)
2020-04-12 12:11:50,902 INFO (79.4%, 449983 bytes)
2020-04-12 12:11:51,131 INFO (79.4%, 449777 bytes)
2020-04-12 12:11:51,387 INFO (79.5%, 447558 bytes)
2020-04-12 12:11:51,650 INFO (79.5%, 447408 bytes)
2020-04-12 12:11:51,947 INFO (79.6%, 445161 bytes)
2020-04-12 12:11:52,199 INFO (79.7%, 443259 bytes)
2020-04-12 12:11:52,444 INFO (79.8%, 439361 bytes)
